AccidentUID;AccidentType;AccidentType_de;AccidentType_fr;AccidentType_it;AccidentType_en;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_fr;AccidentSeverityCategory_it;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_fr;RoadType_it;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentMonth_fr;AccidentMonth_it;AccidentMonth_en;AccidentWeekDay;AccidentWeekDay_de;AccidentWeekDay_fr;AccidentWeekDay_it;AccidentWeekDay_en;AccidentHour;AccidentHour_text
B105201679CB00FEE0430A83942700FE;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2745494;1252946;47.41124202793886,9.366567527439935;SG;3203;St. Gallen;2011;10;2011-10;Oktober;octobre;Ottobre;01-10-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;08;08h-09h
810EB20077D7506EE05328B9D80A6801;at8;Fussgängerunfall;accident impliquant des piétons;Incidente con pedoni;Accident involving pedestrian(s);as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2742669;1252156;47.404757041600206,9.328895891873746;SG;3203;St. Gallen;2018;12;2018-12;Dezember;décembre;Dicembre;01-12-01;aw401;Montag;lundi;Lunedí;;12;12h-13h
A5AEBCC23639C0CCE0430A865E33C0CC;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt430;Autobahn;autoroute;Autostrada;Motorway;2748579;1256118;47.439073242123804,9.40848511371186;SG;3203;St. Gallen;2011;4;2011-04;April;avril;Aprile;01-04-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;17;17h-18h
C323B4DB8B052E8BE053DDB9D80AEF0E;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2745551;1254304;47.42343975350775,9.367764967318186;SG;3203;St. Gallen;2021;5;2021-05;Mai;mai;Maggio;01-05-01;aw407;Sonntag;dimanche;Domenica;01-01-07;16;16h-17h
C4B37564F63D70CAE053DDB9D80A7497;at4;Einbiegeunfall;accident en s'engageant sur une route;Incidente nell’immettersi in una strada;Accident when turning-into main road;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2746469;1254430;47.424368999158375,9.379968541893698;SG;3203;St. Gallen;2021;5;2021-05;Mai;mai;Maggio;01-05-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;07;07h-08h
B2F4CA4E81D9003EE0430A839427003E;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2747252;1256106;47.43926368212452,9.390895101592717;SG;3203;St. Gallen;2011;11;2011-11;November;novembre;Novembre;01-11-01;aw407;Sonntag;dimanche;Domenica;01-01-07;05;05h-06h
A0BA6B6E959350C4E0430A865E3350C4;at1;Überholunfall oder Fahrstreifenwechsel;accident lors d'un dépassement ou lors d'un changement de voie de circulation;Incidente di sorpasso o al cambiamento di corsia;Accident when overtaking or changing lanes;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2746319;1254642;47.426308532203706,9.378050664799877;SG;3203;St. Gallen;2011;4;2011-04;April;avril;Aprile;01-04-01;aw406;Samstag;samedi;Sabato;01-01-06;16;16h-17h
A0CA406C5E5340BCE0430A865E3340BC;at3;Abbiegeunfall;accident en quittant une route;Incidente nello svoltare;Accident when turning left or right;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2746764;1254857;47.42814257670148,9.384017278613754;SG;3203;St. Gallen;2011;4;2011-04;April;avril;Aprile;01-04-01;aw401;Montag;lundi;Lunedí;;16;16h-17h
C4CBAD6D48BD7C5BE053DDB9D80A594B;at3;Abbiegeunfall;accident en quittant une route;Incidente nello svoltare;Accident when turning left or right;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2746644;1254621;47.426047373871874,9.382349807127147;SG;3203;St. Gallen;2021;5;2021-05;Mai;mai;Maggio;01-05-01;aw401;Montag;lundi;Lunedí;;18;18h-19h
C16E2163F6D1F6F6E053DDB9D80A2EDC;at6;Frontalkollision;collision frontale;Collisione frontale;Accident with head-on collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2748624;1255609;47.434486543269024,9.40891201321773;SG;3203;St. Gallen;2021;3;2021-03;März;mars;Marzo;01-03-01;aw406;Samstag;samedi;Sabato;01-01-06;13;13h-14h
